time,open,high,low,close,HH 2/2,LH 2/2,HL 2/2,LL 2/2,HH 5/5,LH 5/5,HL 5/5,LL 5/5,ВХОД,Запрет структуры,Запрет (буква),Против тренда,Против тренда (буква),Слом,Слом (буква),Заморозка,Заморозка (буква),Бол.свеча,Бол.свеча (буква),Нет RR,Нет RR (буква),Стоп-неделя,Фильтр БОК+LONG,Прочее
2026-08-20T10:35:00+03:00,4490,4491.415,4489.265,4490.325,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-08-20T10:40:00+03:00,4490.235,4493.645,4489.36,4491.385,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T10:45:00+03:00,4491.38,4494.145,4489.225,4489.35,,4494.145,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T10:50:00+03:00,4489.3,4491.165,4488.36,4491.085,,,4488.36,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T10:55:00+03:00,4491.09,4492.59,4489.425,4491.105,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:00:00+03:00,4491.105,4495.2,4490.835,4492.555,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:05:00+03:00,4492.545,4494.555,4491.225,4494.13,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:10:00+03:00,4494.135,4495.415,4491.925,4494.495,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:15:00+03:00,4494.5,4498.78,4494.17,4496.265,4498.78,,,,4498.78,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:20:00+03:00,4496.24,4498.275,4495.015,4495.705,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:25:00+03:00,4495.58,4496.395,4490.16,4491.56,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:30:00+03:00,4491.555,4493.38,4487.34,4493.35,,,,4487.34,,,4487.34,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:35:00+03:00,4493.34,4495.475,4490.19,4491.75,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:40:00+03:00,4491.65,4493.11,4490.355,4490.67,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:45:00+03:00,4490.665,4491.805,4487.975,4488.025,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:50:00+03:00,4488.215,4492.13,4487.72,4491.95,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T11:55:00+03:00,4491.995,4492.245,4487.695,4489.35,,,4487.695,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:00:00+03:00,4489.39,4491.295,4488.465,4490.8,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:05:00+03:00,4490.805,4493.34,4489.055,4491.725,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:10:00+03:00,4491.77,4494.295,4491.43,4492.425,,4494.295,,,,4494.295,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:15:00+03:00,4492.375,4493.995,4489.3,4489.42,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:20:00+03:00,4489.44,4493.085,4488.395,4489.98,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:25:00+03:00,4489.925,4490.95,4488.245,4490.05,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:30:00+03:00,4490.1,4490.715,4486.985,4487.75,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-20T12:35:00+03:00,4487.805,4488.64,4484.7,4486.315,,,,4484.7,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2026-08-20T12:40:00+03:00,4486.33,4490.485,4485.895,4489.335,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
