time,open,high,low,close,сырая HH,сырая LH,сырая HL,сырая LL
2025-12-10T02:00:00+02:00,4210.68,4212.77,4207.01,4208.295,,,,
2025-12-10T03:00:00+02:00,4208.31,4218.15,4206.93,4213.75,,,,
2025-12-10T04:00:00+02:00,4213.73,4218.86,4211.74,4217.095,,4218.86,,
2025-12-10T05:00:00+02:00,4216.995,4217.27,4203.485,4206.44,,,,
2025-12-10T06:00:00+02:00,4206.395,4209.845,4205.58,4207.12,,,,
2025-12-10T07:00:00+02:00,4207.015,4214.66,4201.7,4211.575,,,,
2025-12-10T08:00:00+02:00,4211.515,4211.855,4203.005,4207.415,,,,
2025-12-10T09:00:00+02:00,4207.42,4209.26,4203.17,4203.37,,,,
2025-12-10T10:00:00+02:00,4203.3,4206.66,4197.05,4197.92,,,,
2025-12-10T11:00:00+02:00,4197.72,4200.52,4192.65,4194.39,,,,
2025-12-10T12:00:00+02:00,4194.34,4196.67,4187.8,4193.245,,,,4187.8
2025-12-10T13:00:00+02:00,4193.345,4197.845,4192.655,4197.44,,,,
2025-12-10T14:00:00+02:00,4197.405,4202.375,4195.405,4196.575,,,,
2025-12-10T15:00:00+02:00,4196.565,4205.23,4193.22,4200.745,,,,
2025-12-10T16:00:00+02:00,4200.7,4207.105,4191.415,4192.56,,,,
2025-12-10T17:00:00+02:00,4192.53,4201.27,4188.97,4193.75,,,,
2025-12-10T18:00:00+02:00,4193.78,4205.16,4192.72,4204.975,,,,
2025-12-10T19:00:00+02:00,4204.92,4204.955,4196.905,4199.735,,,,
2025-12-10T20:00:00+02:00,4199.775,4200.75,4192.15,4194.07,,,,
2025-12-10T21:00:00+02:00,4194.105,4219.86,4182.08,4216.45,,,,4182.08
2025-12-10T22:00:00+02:00,4216.41,4238.785,4211.425,4229.555,,,,
2025-12-10T23:00:00+02:00,4229.525,4232.335,4221.32,4228.775,,,,
2025-12-11T01:00:00+02:00,4228.245,4234.215,4224.255,4232.585,,,,
2025-12-11T02:00:00+02:00,4232.565,4245.385,4231.615,4237.375,,,,
2025-12-11T03:00:00+02:00,4237.38,4247.805,4233.03,4238.39,4247.805,,,
2025-12-11T04:00:00+02:00,4238.365,4240.915,4220.36,4222.28,,,,
2025-12-11T05:00:00+02:00,4222.22,4225.02,4209.47,4216.905,,,,
2025-12-11T06:00:00+02:00,4216.82,4218.45,4208.43,4213.525,,,,
2025-12-11T07:00:00+02:00,4213.405,4216.315,4206.075,4207.35,,,,
2025-12-11T08:00:00+02:00,4207.355,4215.61,4204.27,4214.725,,,4204.27,
2025-12-11T09:00:00+02:00,4214.75,4218.75,4210.595,4216.11,,,,
2025-12-11T10:00:00+02:00,4216.105,4219.65,4212.835,4216.775,,,,
2025-12-11T11:00:00+02:00,4216.785,4221.615,4210.4,4218.495,,,,
2025-12-11T12:00:00+02:00,4218.51,4226.08,4211.84,4217.035,,,,
2025-12-11T13:00:00+02:00,4217.06,4219.125,4209.61,4211.19,,,,
2025-12-11T14:00:00+02:00,4211.195,4220.61,4208.77,4220.565,,,,
2025-12-11T15:00:00+02:00,4220.705,4223.52,4205.35,4221.015,,,4205.35,
2025-12-11T16:00:00+02:00,4221.035,4244.595,4217.945,4230.395,,,,
2025-12-11T17:00:00+02:00,4230.36,4261.5,4226.335,4256.125,,,,
2025-12-11T18:00:00+02:00,4256.16,4279.04,4250.085,4273.655,,,,
2025-12-11T19:00:00+02:00,4273.645,4281.815,4272.23,4278.71,,,,
2025-12-11T20:00:00+02:00,4278.605,4285.89,4266.77,4268.28,4285.89,,,
2025-12-11T21:00:00+02:00,4268.255,4277.835,4262.83,4273.545,,,,
2025-12-11T22:00:00+02:00,4273.535,4276.395,4264.25,4276.285,,,,
2025-12-11T23:00:00+02:00,4276.24,4283.725,4272.61,4279.335,,,,
2025-12-12T01:00:00+02:00,4282.93,4283.005,4272.42,4276.285,,,,
2025-12-12T02:00:00+02:00,4276.32,4280.07,4269.11,4269.53,,,,
2025-12-12T03:00:00+02:00,4269.555,4276.32,4264.525,4270.935,,,,
2025-12-12T04:00:00+02:00,4270.95,4277.17,4269.32,4270.41,,,,
2025-12-12T05:00:00+02:00,4270.42,4274.825,4268.775,4270.705,,,,
2025-12-12T06:00:00+02:00,4270.68,4271.12,4266.36,4266.39,,,,
2025-12-12T07:00:00+02:00,4266.44,4280.695,4266.045,4278.94,,,,
2025-12-12T08:00:00+02:00,4278.945,4283.285,4276.665,4282.975,,,,
2025-12-12T09:00:00+02:00,4282.86,4290.625,4281.38,4287.245,,,,
2025-12-12T10:00:00+02:00,4287.28,4309.545,4287.185,4308.17,,,,
2025-12-12T11:00:00+02:00,4308.19,4320.425,4306.96,4318.315,,,,
2025-12-12T12:00:00+02:00,4318.3,4331.175,4314.695,4330.17,,,,
2025-12-12T13:00:00+02:00,4330.315,4339.385,4327.21,4336.515,,,,
2025-12-12T14:00:00+02:00,4336.505,4339.46,4324.735,4325.79,,,,
2025-12-12T15:00:00+02:00,4325.905,4346.32,4321.495,4341.155,,,,
2025-12-12T16:00:00+02:00,4341.145,4353.555,4331.05,4346.935,4353.555,,,
2025-12-12T17:00:00+02:00,4346.865,4351.625,4283.55,4290.755,,,,
2025-12-12T18:00:00+02:00,4290.835,4296.665,4257.275,4281.89,,,4257.275,
2025-12-12T19:00:00+02:00,4281.87,4298.525,4271.265,4294.255,,,,
2025-12-12T20:00:00+02:00,4294.3,4303.915,4290.535,4295.02,,,,
2025-12-12T21:00:00+02:00,4295.34,4299.705,4289.96,4296.51,,,,
2025-12-12T22:00:00+02:00,4296.53,4302.985,4288.74,4299.335,,,,
2025-12-12T23:00:00+02:00,4299.41,4304.215,4296.93,4299.38,,,,
2025-12-15T01:00:00+02:00,4302.985,4308.52,4301.72,4302.575,,,,
2025-12-15T02:00:00+02:00,4302.67,4307.995,4300.41,4307.515,,,,
2025-12-15T03:00:00+02:00,4307.555,4325.925,4305.66,4322.53,,,,
2025-12-15T04:00:00+02:00,4322.39,4329.405,4320.845,4326.345,,,,
2025-12-15T05:00:00+02:00,4326.365,4329.775,4319.32,4327.33,,,,
2025-12-15T06:00:00+02:00,4327.28,4330.1,4323.1,4326.19,,,,
2025-12-15T07:00:00+02:00,4326.255,4344.46,4324.685,4343.615,,,,
2025-12-15T08:00:00+02:00,4343.78,4347.48,4339.485,4343.51,,,,
2025-12-15T09:00:00+02:00,4343.53,4344.75,4333.545,4339.19,,,,
2025-12-15T10:00:00+02:00,4339.215,4349.025,4338.785,4346.82,,,,
2025-12-15T11:00:00+02:00,4346.765,4350.285,4342.345,4342.565,,4350.285,,
2025-12-15T12:00:00+02:00,4342.56,4348.175,4337.715,4339.59,,,,
2025-12-15T13:00:00+02:00,4339.61,4343.685,4335.305,4342.775,,,,
2025-12-15T14:00:00+02:00,4342.785,4348.525,4342.74,4345.71,,,,
