layer,dir,tStart,start,end,dur,born,prov,pStart,pEnd,imp,moveImp,mfeImp,maxKN,knees,mud,zeroBar,deathLvl
2/2,-1,2025-07-23T22:00,5531,5584,53,рывок,True,3390.295,3343.42,17.434999999999945,2.6885574992830596,3.801261829653014,4,9,3,5521,3340.335
2/2,1,2025-07-28T13:00,5591,5593,2,пауза,False,3335.98,3328.46,13.114999999999782,-0.5733892489515903,0.22112085398399842,2,0,0,5579,3332.405
2/2,-1,2025-07-29T02:00,5603,5612,9,рывок,False,3312.65,3326.435,17.195000000000164,-0.8016865367839328,0.2611224193079496,2,2,0,5587,3318.96
2/2,-1,2025-07-30T23:00,5647,5685,38,пауза,False,3275.29,3341.26,16.585000000000036,-3.977690684353338,0.38287609285498314,3,8,1,5636,3300.54
2/2,1,2025-08-01T20:00,5690,5725,35,рывок,True,3348.25,3366.285,15.275000000000091,1.1806873977086578,2.4409165302782085,4,8,2,5680,3370.625
2/2,-1,2025-08-05T12:00,5728,5733,5,рывок,False,3359.66,3385.29,6.579999999999927,-3.8951367781155612,1.4848024316109558,3,2,0,5720,3375.51
2/2,1,2025-08-06T03:00,5742,5743,1,пауза,False,3383.505,3376.285,12.355000000000018,-0.5843787940105418,0.15054633751514931,2,1,0,5730,3378.245
2/2,-1,2025-08-06T06:00,5745,5766,21,пауза,False,3374.75,3382.42,12.144999999999982,-0.6315356113627076,1.3581720872787086,3,4,0,5742,3378.845
2/2,1,2025-08-07T09:00,5771,5798,27,рывок,True,3387.98,3385.155,12.829999999999927,-0.220187061574422,1.6718628215120763,5,10,0,5751,3388.8
2/2,1,2025-08-08T16:00,5801,5817,16,рывок,True,3400.16,3365.815,15.480000000000018,-2.2186692506459793,0.24547803617572206,3,7,1,5795,3378.895
2/2,1,2025-08-13T11:00,5865,5887,22,рывок,False,3360.38,3346.15,8.934999999999945,-1.592613318410756,1.6144376049244338,5,6,0,5857,3355.595
2/2,-1,2025-08-14T13:00,5890,5906,16,пауза,False,3355.01,3343.455,25.195000000000164,0.45862274260766883,0.9986108354832366,2,3,1,5887,3341.08
2/2,1,2025-08-15T18:00,5918,5925,7,пауза,False,3342.375,3327.16,15.855000000000018,-0.9596341847997558,0.18101545253862425,2,3,1,5902,3333.06
2/2,1,2025-08-18T13:00,5936,5939,3,пауза,False,3346.635,3336.89,13.8449999999998,-0.7038642109064995,0.35319609967496884,2,0,0,5925,3344.645
2/2,-1,2025-08-19T08:00,5954,5983,29,рывок,True,3336.17,3332.435,13.8449999999998,0.26977248104009977,1.7775370169736715,2,4,2,5949,3327.61
2/2,1,2025-08-20T20:00,5989,6005,16,рывок,True,3347.065,3328.535,6.539999999999964,-2.8333333333333797,0.8004587155963542,2,2,1,5980,3334.285
2/2,-1,2025-08-21T16:00,6008,6032,24,пауза,False,3339.405,3373.9,17.004999999999654,-2.028521023228497,1.0555718906204432,2,5,2,6004,3340.34
2/2,1,2025-08-25T07:00,6045,6063,18,пауза,False,3366.21,3354.98,19.054999999999836,-0.5893466281815857,0.533455785882973,3,7,0,6030,3362.14
2/2,1,2025-08-26T03:00,6064,6091,27,рывок,True,3383.18,3374.99,14.235000000000127,-0.5753424657534233,0.7421847558833832,5,9,3,6050,3380.355
2/2,-1,2025-08-27T14:00,6098,6102,4,пауза,False,3376.8,3388.095,11.795000000000073,-0.9576091564221745,0.2585841458245157,1,2,0,6096,3385.58
2/2,1,2025-08-28T07:00,6114,6272,158,пауза,False,3390.39,3583.51,14.74499999999989,13.097321125805479,14.22956934554097,5,30,10,6098,3586.19
2/2,1,2025-09-08T23:00,6289,6290,1,пауза,False,3635.85,3629.475,14.610000000000127,-0.4363449691991748,0.14852840520192018,2,1,0,6273,3631.935
2/2,-1,2025-09-09T04:00,6293,6294,1,пауза,False,3646.59,3647.54,9.539999999999964,-0.09958071278824127,1.093291404612194,1,1,0,6289,3638.02
2/2,1,2025-09-09T11:00,6300,6311,11,пауза,False,3648.1,3629.56,22.815000000000055,-0.8126232741617322,1.1656804733727895,3,3,1,6291,3636.62
2/2,-1,2025-09-10T06:00,6318,6321,3,пауза,False,3636.715,3643.995,20.539999999999964,-0.3544303797468237,0.1747809152872518,3,1,0,6306,3640.675
2/2,-1,2025-09-11T01:00,6336,6362,26,пауза,False,3639.8,3646.495,14.355000000000018,-0.4663880181121352,1.8784395680947483,5,8,2,6333,3638.525
2/2,1,2025-09-12T10:00,6368,6383,15,пауза,False,3648.4,3638.29,26.074999999999818,-0.38772770853308525,0.23374880153403038,2,7,0,6361,3641.79
2/2,-1,2025-09-15T09:00,6390,6396,6,рывок,False,3636.525,3650.51,9.074999999999818,-1.5410468319559678,0.3140495867768558,2,1,0,6378,3646.95
2/2,1,2025-09-15T22:00,6403,6436,33,рывок,True,3681.055,3675.195,13.274999999999636,-0.44143126177023223,1.6711864406780077,3,8,2,6391,3678.885
2/2,-1,2025-09-17T10:00,6437,6479,42,рывок,False,3667.09,3653.81,16.634999999999764,0.7983168019236783,2.3522693116922553,3,12,1,6430,3647.235
2/2,1,2025-09-19T11:00,6484,6560,76,пауза,False,3655.64,3741.22,17.954999999999927,4.766360345307729,7.5530492898914385,5,16,2,6477,3752.075
2/2,-1,2025-09-25T05:00,6570,6576,6,пауза,False,3739.715,3756.58,34.01499999999987,-0.4958106717624532,0.29633985006614627,2,2,0,6552,3751.535
2/2,-1,2025-09-25T23:00,6588,6604,16,пауза,False,3749.44,3761.98,36.210000000000036,-0.3463131731565852,0.41425020712510313,2,4,2,6576,3755.24
2/2,1,2025-09-26T20:00,6608,6645,37,рывок,True,3783.075,3816.37,12.284999999999854,2.7102157102157483,7.229548229548319,5,7,3,6601,3822.6
2/2,-1,2025-09-30T19:00,6653,6661,8,пауза,False,3846.025,3869.065,61.524999999999636,-0.37448191791954655,0.1323852092645271,2,0,0,6643,3854.7
2/2,1,2025-10-01T10:00,6667,6697,30,рывок,False,3879.35,3839.98,19.855000000000018,-1.9828758499118537,0.8954923193150433,4,5,3,6646,3861.7
2/2,-1,2025-10-03T04:00,6707,6718,11,пауза,False,3858.55,3873.95,44.289999999999964,-0.3477082862948668,0.4624068638518861,2,1,0,6696,3863.715
2/2,1,2025-10-03T21:00,6724,6759,35,рывок,True,3886.125,3945.86,25.644999999999982,2.329303957886534,3.559173328134145,5,7,2,6709,3955.87
2/2,1,2025-10-07T20:00,6769,6797,28,пауза,False,3980.815,4011.78,29.38500000000022,1.0537689297260477,2.6726220860983245,5,5,1,6760,4026.175
2/2,-1,2025-10-09T06:00,6801,6808,7,пауза,False,4026.93,4044.2,35.210000000000036,-0.4904856574836684,0.27833001988070766,2,4,0,6799,4036.54
2/2,1,2025-10-09T15:00,6810,6811,1,рывок,False,4053.5,4017.315,21.029999999999745,-1.720637184973865,0.010461245839267835,2,0,0,6800,4022.67
2/2,-1,2025-10-10T01:00,6819,6820,1,пауза,False,3975.31,3989.805,37.74000000000024,-0.3840752517223052,0.43600953895071076,2,0,0,6811,3982.175
2/2,-1,2025-10-10T06:00,6824,6840,16,рывок,False,3961.88,4011.365,37.74000000000024,-1.3112082670906031,0.3937466878643358,3,5,1,6811,3994.52
2/2,1,2025-10-13T01:00,6842,6947,105,рывок,False,4042.47,4287.19,47.76499999999987,5.123416727729518,7.087197738930198,5,17,4,6825,4306.255
2/2,-1,2025-10-17T23:00,6956,6970,14,рывок,True,4253.975,4279.075,100.08500000000004,-0.25078683119348,0.34830394164960354,2,5,0,6941,4266.12
2/2,1,2025-10-20T20:00,6976,6989,13,пауза,False,4348.085,4298.52,109.8799999999992,-0.45108299963596615,0.30355842737531674,2,1,1,6969,4333.095
2/2,-1,2025-10-22T03:00,7005,7011,6,рывок,False,4075.135,4155.785,50.52000000000044,-1.5963974663499394,1.4025138558986423,3,1,0,6978,4131.1
2/2,1,2025-10-22T16:00,7018,7057,39,пауза,False,4075.975,4092.3,146.40999999999985,0.11150194658834976,0.5383170548459814,5,10,0,7005,4106.035
2/2,-1,2025-10-24T14:00,7062,7065,3,рывок,True,4061.46,4117.63,38.5,-1.4589610389610408,0.46610389610390035,1,1,1,7052,4106.035
2/2,-1,2025-10-27T00:00,7072,7120,48,рывок,False,4081.875,3975.325,38.5,2.7675324675324724,5.075584415584411,5,13,2,7052,3970.465
2/2,1,2025-10-29T06:00,7124,7140,16,пауза,False,3952.085,3930.615,38.67000000000007,-0.5552107576933079,2.0236617532971284,3,2,2,7118,3943.825
2/2,-1,2025-10-30T05:00,7146,7149,3,пауза,False,3938.21,3976.96,50.210000000000036,-0.7717586138219472,0.4519020115514845,3,2,0,7132,3966.8
2/2,1,2025-10-30T17:00,7158,7182,24,пауза,False,4001.76,3980.72,51.38499999999976,-0.4094580130388346,0.8725308942298294,4,6,1,7146,3998.875
2/2,-1,2025-11-03T12:00,7198,7263,65,пауза,False,3998.715,3991.515,65.85500000000002,0.10933110621821078,1.063396856730699,3,13,6,7178,3987.34
2/2,1,2025-11-06T09:00,7264,7341,77,рывок,False,4005.78,4106.835,26.110000000000127,3.870356185369565,5.489084641899635,5,18,5,7244,4124.895
2/2,-1,2025-11-11T20:00,7344,7346,2,рывок,True,4113.86,4129.535,21.139999999999418,-0.7414853358562258,0.341532639545863,1,0,0,7339,4124.895
2/2,-1,2025-11-12T05:00,7352,7364,12,рывок,False,4112.085,4181.495,21.139999999999418,-3.2833491012299794,0.6229895931882893,2,3,0,7339,4133.855
2/2,1,2025-11-12T22:00,7369,7386,17,пауза,False,4196.05,4195.525,89.05500000000029,-0.005895233282808871,0.5518499803492153,4,5,1,7362,4203.27
2/2,-1,2025-11-14T07:00,7400,7454,54,пауза,False,4189.9,4065.305,66.2450000000008,1.8808211940523556,2.897048833874212,3,11,2,7398,4054.755
2/2,1,2025-11-18T20:00,7459,7489,30,пауза,False,4072.63,4066.875,41.36499999999978,-0.1391272815181951,1.4590837664692344,4,10,1,7448,4078.35
2/2,-1,2025-11-20T06:00,7491,7523,32,пауза,False,4075.5,4079.745,71.4699999999998,-0.05939555058066186,0.7449279417937587,4,6,2,7479,4063.605
2/2,1,2025-11-21T21:00,7529,7534,5,пауза,False,4087.625,4044.235,69.9699999999998,-0.6201229098184936,0.06517078748034813,2,1,0,7521,4054.74
2/2,-1,2025-11-24T09:00,7540,7542,2,пауза,False,4060.245,4072.045,21.4050000000002,-0.5512730670404145,0.40574632095304203,1,0,0,7537,4061.425
2/2,1,2025-11-25T12:00,7566,7593,27,пауза,False,4131.47,4142.365,46.1899999999996,0.23587356570685475,0.9099372158475885,4,8,1,7538,4146.68
2/2,1,2025-11-26T17:00,7594,7603,9,рывок,True,4165.43,4154.45,21.949999999999818,-0.5002277904328275,0.29498861047833747,5,4,0,7570,4158.1
2/2,-1,2025-11-27T08:00,7608,7624,16,пауза,False,4157.45,4163.165,26.020000000000437,-0.21963873943120868,0.40603382013833295,2,6,1,7601,4160.46
2/2,1,2025-11-28T05:00,7628,7633,5,пауза,False,4183.39,4164.01,37.92500000000018,-0.5110085695451554,0.24561634805536073,2,3,0,7623,4170.68
2/2,-1,2025-11-28T12:00,7635,7640,5,пауза,False,4163.325,4203.93,38.720000000000255,-1.0486828512396746,0.10343491735537404,1,1,0,7631,4192.46
2/2,1,2025-12-01T03:00,7647,7675,28,пауза,False,4255.56,4212.965,21.13000000000011,-2.0158542356838636,0.4325603407477222,5,7,1,7633,4219.495
2/2,-1,2025-12-02T17:00,7684,7705,21,рывок,True,4169.835,4237.39,25.31500000000051,-2.668575943116687,0.23819869642502958,3,4,0,7664,4229.065
2/2,1,2025-12-03T22:00,7712,7720,8,пауза,False,4206.23,4181.1,46.36999999999989,-0.5419452232046422,0.2339874919128831,2,2,1,7702,4195.195
2/2,-1,2025-12-04T10:00,7723,7724,1,рывок,True,4185.0,4199.95,17.63000000000011,-0.847986386840597,0.011344299489496135,1,0,0,7716,4195.195
2/2,1,2025-12-04T20:00,7733,7756,23,пауза,False,4208.07,4208.955,34.17000000000007,0.025899912203693778,1.5004389815627839,3,7,0,7728,4215.935
2/2,-1,2025-12-08T10:00,7769,7794,25,пауза,False,4209.875,4204.12,27.11999999999989,0.21220501474926742,1.4708702064896935,5,4,2,7753,4198.905
2/2,1,2025-12-09T18:00,7800,7815,15,пауза,False,4212.4,4197.92,23.545000000000073,-0.614992567424061,0.3918029305585192,2,4,1,7798,4201.7
2/2,-1,2025-12-10T16:00,7821,7823,2,рывок,True,4192.56,4204.975,14.779999999999745,-0.8399864682002827,0.24289580514209794,1,1,0,7809,4201.7
2/2,1,2025-12-11T10:00,7838,7901,63,пауза,False,4216.775,4289.71,43.534999999999854,1.6753187090846593,3.1418398989319196,2,15,2,7826,4299.725
2/2,1,2025-12-16T20:00,7917,7957,40,пауза,False,4311.37,4320.94,43.775000000000546,0.21861793260992782,0.866019417475714,4,11,2,7904,4324.02
2/2,1,2025-12-18T21:00,7964,8028,64,пауза,False,4325.18,4446.745,52.50999999999931,2.3150828413635725,3.2851837745191848,5,13,3,7959,4478.225
2/2,1,2025-12-24T07:00,8042,8052,10,пауза,False,4488.645,4458.685,59.60999999999967,-0.5026002348599262,0.20013420567018028,2,2,1,8029,4466.54
2/2,1,2025-12-26T06:00,8061,8080,19,пауза,False,4509.19,4497.3,44.529999999999745,-0.2670110038176395,0.9198293285425616,2,5,0,8052,4510.025
2/2,-1,2025-12-29T04:00,8082,8115,33,пауза,False,4512.425,4401.24,76.10000000000036,1.4610381077529548,2.7636662286465112,4,5,1,8079,4383.445
2/2,1,2025-12-30T20:00,8121,8123,2,пауза,False,4364.84,4341.83,49.22999999999956,-0.46739792809263503,0.284887263863493,2,2,0,8111,4355.145
2/2,-1,2025-12-31T05:00,8129,8141,12,пауза,False,4348.66,4337.61,45.465000000000146,0.2430440998570361,1.6415924337402392,4,4,0,8120,4337.48
2/2,1,2026-01-02T01:00,8148,8224,76,пауза,False,4348.26,4444.125,48.79999999999927,1.9644467213115002,3.1209016393443125,5,14,2,8138,4459.71
2/2,-1,2026-01-07T19:00,8235,8256,21,пауза,False,4451.93,4454.36,51.48999999999978,-0.04719362983102334,0.8563798795882781,4,7,0,8217,4439.765
2/2,1,2026-01-08T23:00,8262,8359,97,пауза,False,4477.565,4592.27,21.029999999999745,5.454350927246896,7.865192582025804,5,22,3,8253,4599.5
2/2,-1,2026-01-15T11:00,8365,8366,1,пауза,False,4612.65,4620.04,32.58000000000084,-0.22682627378760398,0.3649478207488985,2,0,0,8352,4613.645
2/2,-1,2026-01-15T15:00,8369,8401,32,рывок,False,4588.325,4672.975,32.58000000000084,-2.598219766728004,1.5910067526089229,2,10,3,8352,4616.315
2/2,1,2026-01-19T06:00,8406,8465,59,пауза,False,4663.36,4781.57,37.714999999999236,3.1342966989262213,5.970701312475274,5,11,0,8394,4832.725
2/2,-1,2026-01-22T01:00,8468,8484,16,рывок,True,4778.265,4871.82,44.60999999999967,-2.0971755211835927,0.13438690876484946,2,3,2,8460,4839.71
2/2,1,2026-01-23T06:00,8496,8534,38,рывок,True,4956.285,5028.715,25.75,2.812815533980594,6.028155339805839,5,9,2,8482,5054.67
2/2,-1,2026-01-27T06:00,8542,8546,4,пауза,False,5067.8,5079.755,89.59500000000025,-0.13343378536748585,0.11836598024443823,2,2,0,8531,5079.81
2/2,1,2026-01-27T12:00,8548,8552,4,пауза,False,5086.545,5054.74,27.329999999999927,-1.1637394804244559,0.4432857665568904,2,1,1,8543,5066.64
2/2,1,2026-01-27T17:00,8553,8599,46,рывок,True,5090.905,5183.2,26.50500000000011,3.482173174872654,19.291454442557953,5,10,3,8551,5470.9
2/2,-1,2026-01-29T19:00,8601,8659,58,пауза,False,5335.37,4881.315,452.34999999999945,1.0037692052614144,2.062540068531007,4,11,2,8598,4812.265
2/2,-1,2026-02-04T20:00,8694,8727,33,пауза,False,4927.68,4897.55,215.32999999999993,0.139924766637255,1.26526726419914,4,7,0,8689,4846.66
2/2,1,2026-02-09T02:00,8745,8830,85,рывок,False,5019.93,4954.74,34.650000000000546,-1.8813852813852665,2.869119769119723,4,23,5,8722,5047.13
2/2,-1,2026-02-13T08:00,8843,8853,10,пауза,False,4967.64,5007.995,119.05500000000029,-0.33896098441896155,0.28562429129394,2,4,0,8827,4989.695
2/2,1,2026-02-16T09:00,8867,8881,14,пауза,False,5007.4,4936.04,81.61499999999978,-0.8743490779881132,0.12307786558843473,2,3,0,8848,4969.11
2/2,-1,2026-02-17T05:00,8884,8907,23,пауза,False,4956.87,4920.855,78.34499999999935,0.4596974918629221,1.4585487267853785,4,5,1,8880,4910.9
2/2,1,2026-02-18T14:00,8916,8929,13,рывок,True,4943.36,4968.345,56.659999999999854,0.4409636427815151,1.19228732792094,4,5,0,8903,4972.87
2/2,1,2026-02-19T18:00,8943,9009,66,пауза,False,4995.15,5115.145,58.725000000000364,2.043337590464028,4.339804171988061,5,10,6,8927,5145.135
2/2,1,2026-02-25T06:00,9023,9102,79,пауза,False,5182.84,5334.355,65.55000000000018,2.311441647597239,3.61281464530891,4,14,7,9018,5374.37
2/2,-1,2026-03-02T20:00,9106,9135,29,пауза,False,5315.515,5175.155,156.76000000000022,0.8953814748660397,2.036488900229652,4,9,1,9101,5149.055
2/2,1,2026-03-04T10:00,9142,9171,29,пауза,False,5167.775,5102.305,73.34499999999935,-0.8926307178403426,0.5247801486127348,3,6,1,9132,5120.785
2/2,-1,2026-03-05T23:00,9178,9181,3,рывок,True,5081.38,5134.575,59.69499999999971,-0.8911131585559924,0.15227405980400688,1,0,0,9166,5120.785
2/2,-1,2026-03-06T15:00,9193,9195,2,пауза,False,5085.12,5141.835,59.94499999999971,-0.9461172741679943,0.3273000250229375,1,1,0,9188,5123.16
2/2,-1,2026-03-09T18:00,9220,9225,5,пауза,False,5104.74,5153.22,72.17000000000007,-0.6717472634058532,0.21622557849521334,1,1,1,9213,5132.765
2/2,1,2026-03-10T08:00,9233,9265,32,пауза,False,5175.34,5166.605,32.585000000000036,-0.2680681295074596,1.9467546417062889,5,8,2,9218,5175.35
2/2,-1,2026-03-12T00:00,9271,9281,10,рывок,False,5139.13,5178.22,21.824999999999818,-1.7910652920962415,0.6180985108820112,4,4,0,9262,5175.15
2/2,-1,2026-03-13T06:00,9300,9346,46,пауза,False,5104.59,5038.05,73.35000000000036,0.907157464212674,1.8652351738241286,2,10,1,9283,5021.835
2/2,1,2026-03-17T10:00,9350,9353,3,пауза,False,5024.95,5003.375,39.85999999999967,-0.5412694430506773,0.1172854992473713,2,2,0,9343,5005.04
2/2,-1,2026-03-17T22:00,9362,9413,51,пауза,False,5005.725,4698.5,35.48999999999978,8.656663848971604,14.183150183150287,5,12,0,9355,4677.205
2/2,1,2026-03-20T09:00,9418,9421,3,рывок,True,4706.43,4645.465,42.850000000000364,-1.4227537922987077,0.6658109684947375,2,1,0,9410,4661.305
2/2,-1,2026-03-20T19:00,9428,9477,49,пауза,False,4573.675,4474.275,194.17500000000018,0.5119093601133022,2.4439294450881923,4,11,5,9419,4434.31
2/2,1,2026-03-25T07:00,9485,9500,15,рывок,True,4555.78,4506.845,61.655000000000655,-0.7936906982401909,0.4836590706349899,2,6,1,9474,4533.145
2/2,-1,2026-03-26T00:00,9501,9540,39,пауза,False,4517.76,4509.71,82.43499999999949,0.09765269606356804,2.018620731485433,5,9,3,9491,4479.895
2/2,1,2026-03-27T17:00,9541,9548,7,рывок,False,4524.445,4449.04,70.72000000000025,-1.0662471719456939,0.4409643665158412,4,1,0,9523,4486.505
2/2,1,2026-03-30T19:00,9565,9567,2,пауза,False,4539.985,4499.18,68.15999999999985,-0.5986649061032786,0.1442928403755877,0,0,0,9563,4512.57
2/2,1,2026-03-31T03:00,9572,9619,47,рывок,False,4547.935,4696.105,68.15999999999985,2.1738556338028094,3.7098738262910844,5,12,3,9568,4742.17
2/2,-1,2026-04-02T19:00,9634,9649,15,пауза,False,4659.215,4695.86,146.03999999999996,-0.2509244042727988,0.3996507806080512,2,2,1,9617,4671.73
2/2,-1,2026-04-07T01:00,9662,9672,10,пауза,False,4658.505,4683.035,51.974999999999454,-0.471957671957672,0.8075998075998231,4,5,1,9655,4664.12
2/2,1,2026-04-07T16:00,9677,9700,23,пауза,False,4644.44,4777.225,65.88499999999931,2.0154056310237864,3.2446687409881276,2,3,2,9669,4788.12
2/2,-1,2026-04-08T20:00,9704,9720,16,рывок,True,4734.205,4741.12,55.779999999999745,-0.12396916457511645,0.6360702760846132,2,3,1,9692,4733.04
2/2,1,2026-04-09T23:00,9730,9754,24,рывок,True,4765.405,4659.035,29.460000000000036,-3.6106585200271475,1.00390359809911,2,7,1,9716,4747.375
2/2,-1,2026-04-13T05:00,9758,9763,5,рывок,True,4720.575,4733.92,25.975000000000364,-0.5137632338787321,0.4594802694898681,2,2,0,9751,4728.225
2/2,1,2026-04-14T10:00,9786,9838,52,пауза,False,4777.16,4795.065,19.530000000000655,0.9167946748591472,4.824372759856482,3,9,3,9771,4805.165
2/2,-1,2026-04-16T19:00,9841,9860,19,пауза,False,4792.095,4846.52,51.465000000000146,-1.0575148158942977,0.4711940153502367,3,5,2,9838,4801.3
2/2,-1,2026-04-20T06:00,9874,9883,9,пауза,False,4791.02,4803.505,77.63000000000011,-0.16082699987117938,0.14788097385032148,2,4,0,9861,4805.795
2/2,1,2026-04-21T01:00,9892,9899,7,рывок,False,4827.82,4784.18,35.07999999999993,-1.2440136830102482,0.1592075256556456,3,1,0,9880,4792.615
2/2,-1,2026-04-21T13:00,9904,9952,48,пауза,False,4789.945,4740.125,20.335000000000036,2.4499631177772128,5.966314236537969,4,8,5,9892,4725.115
2/2,-1,2026-04-24T06:00,9966,9974,8,пауза,False,4672.38,4706.87,46.849999999999454,-0.7361792956243369,0.30629669156884803,4,3,0,9952,4697.55
2/2,1,2026-04-24T19:00,9979,10000,21,пауза,False,4726.98,4678.24,65.6899999999996,-0.7419698584259412,0.04840919470239474,2,5,1,9973,4699.3
2/2,-1,2026-04-27T20:00,10003,10056,53,пауза,False,4682.24,4579.085,45.31999999999971,2.2761473962930365,3.798433362753765,4,9,4,9998,4564.985
2/2,1,2026-04-30T09:00,10061,10082,21,рывок,False,4589.66,4609.265,46.649999999999636,0.4202572347267015,1.2301178992497463,4,6,0,10050,4614.15
2/2,1,2026-05-04T02:00,10100,10106,6,пауза,False,4613.965,4598.92,53.36499999999978,-0.2819263562259933,0.13182797713857178,2,2,1,10087,4607.22
2/2,-1,2026-05-04T09:00,10107,10132,25,рывок,True,4588.97,4558.375,22.24499999999989,1.3753652506181346,3.953023151269986,4,4,2,10099,4546.94
2/2,1,2026-05-05T20:00,10141,10187,46,рывок,True,4559.94,4711.44,18.909999999999854,8.011634056055058,10.838974087784333,4,10,2,10128,4721.84
2/2,-1,2026-05-08T02:00,10192,10198,6,пауза,False,4704.405,4727.62,31.274999999999636,-0.7422861710631627,0.6254196642685761,1,2,0,10190,4719.195
2/2,1,2026-05-08T16:00,10206,10214,8,рывок,False,4747.85,4691.76,37.850000000000364,-1.4819022457067268,0.04570673712019939,4,4,1,10191,4702.055
2/2,-1,2026-05-11T06:00,10219,10229,10,рывок,False,4678.75,4736.135,26.969999999999345,-2.1277345198369155,1.1368186874305004,3,2,1,10211,4705.56
2/2,1,2026-05-11T21:00,10234,10245,11,пауза,False,4725.085,4697.09,40.94499999999971,-0.6837220661863498,1.1842715838319728,3,2,0,10221,4708.005
2/2,-1,2026-05-12T17:00,10253,10344,91,пауза,False,4673.0,4575.75,26.400000000000546,3.683712121212045,7.295075757575613,5,24,5,10239,4560.095
2/2,1,2026-05-18T18:00,10346,10367,21,пауза,False,4543.71,4504.175,54.414999999999964,-0.7265459891573992,0.8429660939079283,3,7,0,10342,4531.85
2/2,1,2026-05-21T04:00,10401,10403,2,пауза,False,4561.01,4528.4,18.30500000000029,-1.7814804698169933,0.5400163889647671,2,2,0,10380,4534.74
2/2,-1,2026-05-21T14:00,10411,10417,6,пауза,False,4514.08,4551.435,30.985000000000582,-1.205583346780693,0.8213651766983812,3,2,0,10401,4543.06
2/2,1,2026-05-22T07:00,10427,10428,1,пауза,False,4527.135,4511.7,40.835000000000036,-0.3779845720582928,0.14313701481570565,2,1,0,10413,4518.53
2/2,1,2026-05-22T15:00,10435,10437,2,пауза,False,4528.24,4500.615,26.534999999999854,-1.041077821744871,0.29093649896364415,2,1,0,10428,4510.285
2/2,1,2026-05-25T04:00,10447,10467,20,пауза,False,4563.08,4549.9,76.03999999999996,-0.17332982640715805,0.22573645449763247,2,6,1,10443,4563.365
2/2,-1,2026-05-26T12:00,10476,10528,52,пауза,False,4522.775,4482.505,11.335000000000036,3.552712836347543,13.8107631230701,5,6,6,10466,4462.58
2/2,1,2026-05-29T04:00,10537,10563,26,пауза,False,4506.52,4514.64,27.654999999999745,0.2936177906346037,3.211354185499921,5,8,0,10517,4520.025
2/2,-1,2026-06-01T15:00,10571,10586,15,рывок,True,4502.215,4517.45,26.2450000000008,-0.5804915221946736,2.071061154505575,4,4,1,10559,4497.135
2/2,1,2026-06-02T13:00,10592,10594,2,рывок,True,4533.28,4514.79,34.125,-0.5418315018314954,0.04586080586082079,2,0,0,10583,4521.715
2/2,-1,2026-06-03T06:00,10608,10630,22,рывок,False,4484.475,4475.23,34.595000000000255,0.26723514958811195,1.7490966902731544,5,3,1,10589,4468.19
2/2,1,2026-06-04T13:00,10638,10652,14,пауза,False,4473.88,4447.02,25.390000000000327,-1.0578968097675985,1.639818826309558,2,4,1,10636,4458.665
2/2,-1,2026-06-05T05:00,10653,10685,32,рывок,False,4440.575,4331.425,26.19500000000062,4.166825730101052,6.569765222370536,5,7,2,10641,4316.96
2/2,1,2026-06-08T18:00,10689,10711,22,пауза,False,4341.84,4300.535,73.71500000000015,-0.5603337176965368,0.29681882927491104,2,6,1,10683,4321.32
2/2,-1,2026-06-10T11:00,10728,10760,32,пауза,False,4169.135,4151.895,49.44000000000051,0.348705501618115,2.9382079288025653,4,4,3,10710,4118.395
2/2,1,2026-06-12T04:00,10767,10809,42,рывок,True,4186.71,4308.85,40.750000000000455,2.997300613496907,4.489693251533691,5,10,3,10757,4324.8
2/2,-1,2026-06-16T08:00,10817,10820,3,пауза,False,4315.84,4347.02,27.265000000000327,-1.143590684027138,0.08472400513480186,2,2,0,10803,4333.375
2/2,1,2026-06-16T17:00,10826,10842,16,пауза,False,4324.19,4325.275,41.42000000000007,0.026195074843071812,0.6135924674070478,2,5,0,10818,4328.615
2/2,1,2026-06-17T22:00,10854,10855,1,пауза,False,4236.055,4257.65,62.67500000000018,0.3445552453131118,0.9516553649780511,1,1,0,10847,4319.94
2/2,-1,2026-06-18T07:00,10862,10900,38,пауза,False,4315.68,4201.185,110.69999999999982,1.0342818428184288,1.7500000000000062,2,7,2,10852,4178.525
2/2,-1,2026-06-23T06:00,10926,10939,13,пауза,False,4144.195,4134.385,28.784999999999854,0.34080250130274586,1.8469689074170497,4,5,0,10911,4133.48
2/2,-1,2026-06-24T11:00,10954,10981,27,пауза,False,4076.385,4012.67,47.25999999999976,1.3481802793059767,2.4821201862039968,4,5,2,10937,4002.11
2/2,1,2026-06-25T23:00,10989,11024,35,пауза,False,4026.92,4031.66,70.5,0.06723404255318839,0.9796453900709228,4,7,2,10980,4048.15
2/2,-1,2026-06-30T17:00,11052,11074,22,пауза,False,4037.405,4089.65,28.690000000000055,-1.821017776228644,2.6883931683513405,1,3,1,11049,4037.43
2/2,1,2026-07-02T02:00,11083,11121,38,пауза,False,4035.325,4170.0,87.54500000000053,1.538351704837505,1.8297447027243068,5,12,1,11068,4168.57
2/2,-1,2026-07-06T12:00,11135,11146,11,пауза,False,4143.24,4165.115,21.69000000000051,-1.0085292761641071,0.6791147994467136,5,4,0,11127,4159.6
