тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
1H,5/5,-1,2,SHORT,колено,3R,181,-0.1160,0.2474,-0.0870,-0.1461,92,89
1H,5/5,-1,2,SHORT,колено,2R,181,-0.0055,0.2105,0.0109,-0.0225,92,89
1H,5/5,1,0,LONG,свеча,магнит,258,0.2393,0.2849,0.4599,0.0287,126,132
1H,5/5,1,0,LONG,свеча,3R,334,0.2814,0.2046,0.3665,0.2023,161,173
1H,5/5,1,0,LONG,свеча,2R,334,0.2126,0.1614,0.2484,0.1792,161,173
1H,5/5,1,0,LONG,колено,магнит,169,0.1209,0.2983,0.5995,-0.2430,73,96
1H,5/5,1,0,LONG,колено,3R,317,0.4006,0.2147,0.7143,0.1043,154,163
1H,5/5,1,0,LONG,колено,2R,322,0.3230,0.1663,0.6226,0.0307,159,163
1H,5/5,1,0,LONG,уровень,магнит,71,-0.3097,0.3895,-0.7430,-0.1626,18,53
1H,5/5,1,0,LONG,уровень,3R,150,0.0400,0.2875,-0.1200,0.1200,50,100
1H,5/5,1,0,LONG,уровень,2R,153,0.0784,0.2335,0.0189,0.1100,53,100
1H,5/5,1,0,SHORT,свеча,3R,334,-0.2216,0.1736,-0.2547,-0.1908,161,173
1H,5/5,1,0,SHORT,свеча,2R,334,-0.1737,0.1469,-0.2174,-0.1329,161,173
1H,5/5,1,0,SHORT,колено,3R,194,-0.1134,0.2392,-0.0213,-0.2000,94,100
1H,5/5,1,0,SHORT,колено,2R,195,-0.1231,0.1959,-0.0745,-0.1683,94,101
1H,5/5,-1,3,LONG,свеча,магнит,104,0.0447,0.4163,0.0992,-0.0097,52,52
1H,5/5,-1,3,LONG,свеча,3R,104,0.0385,0.3456,0.0769,0.0000,52,52
1H,5/5,-1,3,LONG,свеча,2R,104,-0.0481,0.2752,-0.0192,-0.0769,52,52
1H,5/5,-1,3,LONG,колено,3R,97,0.8557,0.4072,1.1277,0.6000,47,50
1H,5/5,-1,3,LONG,колено,2R,97,0.5464,0.3060,0.6596,0.4400,47,50
1H,5/5,-1,3,SHORT,свеча,магнит,99,0.1448,0.4320,0.5677,-0.3046,51,48
1H,5/5,-1,3,SHORT,свеча,3R,104,0.2308,0.3638,0.6154,-0.1538,52,52
1H,5/5,-1,3,SHORT,свеча,2R,104,0.0962,0.2847,0.3269,-0.1346,52,52
1H,5/5,-1,3,SHORT,колено,3R,97,-0.5052,0.2688,-0.6154,-0.3778,52,45
1H,5/5,-1,3,SHORT,колено,2R,97,-0.4742,0.2328,-0.4231,-0.5333,52,45
1H,5/5,-1,3,SHORT,уровень,3R,93,-0.4839,0.2796,-0.5833,-0.3778,48,45
1H,5/5,-1,3,SHORT,уровень,2R,93,-0.5161,0.2301,-0.5000,-0.5333,48,45
1H,5/5,-1,3,SHORT,уровень,магнит,47,-0.0993,0.5114,-0.2638,0.0584,23,24
1H,5/5,-1,3,SHORT,колено,магнит,51,-0.1699,0.4759,-0.2944,-0.0592,24,27
1H,5/5,-1,4,LONG,свеча,магнит,49,0.8541,0.7301,0.1092,1.4127,21,28
1H,5/5,-1,4,LONG,свеча,3R,50,0.7600,0.5673,0.4545,1.0000,22,28
1H,5/5,-1,4,LONG,свеча,2R,50,0.5000,0.4286,0.5000,0.5000,22,28
1H,5/5,-1,4,LONG,колено,3R,43,1.2326,0.6130,1.6000,0.9130,20,23
1H,5/5,-1,4,LONG,колено,2R,43,0.7442,0.4567,0.9500,0.5652,20,23
1H,5/5,-1,4,SHORT,свеча,магнит,44,0.1825,1.2168,-0.5676,0.7526,19,25
1H,5/5,-1,4,SHORT,свеча,3R,50,-0.2800,0.4391,-0.4545,-0.1429,22,28
1H,5/5,-1,4,SHORT,свеча,2R,50,-0.2800,0.3661,-0.4545,-0.1429,22,28
1H,5/5,-1,4,SHORT,колено,магнит,37,-0.0365,0.6148,-0.4794,0.3009,16,21
1H,5/5,-1,4,SHORT,колено,3R,46,-0.2174,0.4731,-0.4000,-0.0769,20,26
1H,5/5,-1,4,SHORT,колено,2R,46,-0.3478,0.3689,-0.5500,-0.1923,20,26
1H,5/5,1,1,LONG,свеча,магнит,291,0.3101,0.2669,0.2586,0.3649,150,141
1H,5/5,1,1,LONG,уровень,3R,188,0.2979,0.2739,0.5696,0.1009,79,109
1H,5/5,1,1,LONG,уровень,2R,192,0.1094,0.2096,0.3735,-0.0917,83,109
1H,5/5,1,1,SHORT,колено,магнит,263,-0.3270,0.2085,-0.3284,-0.3254,138,125
1H,5/5,1,2,LONG,свеча,магнит,178,-0.0194,0.3255,0.2297,-0.2742,90,88
1H,5/5,1,2,LONG,колено,магнит,110,-0.0492,0.3480,0.0864,-0.1847,55,55
1H,5/5,-1,0,SHORT,колено,магнит,164,-0.3644,0.2479,-0.4550,-0.2823,78,86
1H,5/5,-1,1,LONG,уровень,магнит,28,-0.3569,0.6098,1.5722,-1.0000,7,21
1H,5/5,1,1,LONG,колено,магнит,137,0.1240,0.3325,0.1009,0.1405,57,80
1H,5/5,-1,2,SHORT,уровень,3R,148,-0.1892,0.2653,-0.1429,-0.2500,84,64
1H,5/5,-1,2,SHORT,уровень,2R,148,-0.1081,0.2262,-0.1071,-0.1094,84,64
1H,5/5,-1,3,LONG,колено,магнит,71,0.4580,0.5363,0.2740,0.5643,26,45
1H,5/5,-1,1,LONG,колено,магнит,166,0.0085,0.2841,0.4750,-0.3761,75,91
1H,5/5,-1,4,LONG,колено,магнит,31,0.2347,0.7089,0.6480,0.0379,10,21
1H,5/5,-1,4,SHORT,уровень,3R,37,-0.0270,0.5721,-0.2500,0.1429,16,21
1H,5/5,-1,4,SHORT,уровень,2R,37,-0.2703,0.4290,-0.4375,-0.1429,16,21
1H,5/5,-1,5,LONG,свеча,магнит,31,0.2371,0.7904,-0.0625,0.3596,9,22
1H,5/5,-1,5,LONG,свеча,3R,31,0.2903,0.6828,0.3333,0.2727,9,22
1H,5/5,-1,5,LONG,свеча,2R,31,0.1613,0.5336,0.0000,0.2273,9,22
1H,5/5,-1,5,LONG,колено,3R,31,0.2903,0.6828,-0.1111,0.4545,9,22
1H,5/5,-1,5,LONG,колено,2R,31,0.3548,0.5452,-0.3333,0.6364,9,22
