тф,слой,счёт,точка,сторона,стоп,цель,сделок,EV,шум2s,EV_1половина,EV_2половина,n1,n2
5m,5/5,-1,1,LONG,уровень,2R,69,-0.4348,0.2845,-0.3793,-0.4750,29,40
5m,5/5,-1,4,LONG,свеча,магнит,90,0.2498,0.5188,0.7647,-0.4234,51,39
5m,5/5,-1,4,LONG,свеча,3R,90,0.1556,0.3844,0.4902,-0.2821,51,39
5m,5/5,-1,4,LONG,свеча,2R,90,0.1667,0.3100,0.3529,-0.0769,51,39
5m,5/5,-1,4,LONG,колено,магнит,58,-0.0226,0.4845,0.0815,-0.1600,33,25
5m,5/5,-1,4,LONG,колено,3R,66,-0.0909,0.4158,-0.0526,-0.1429,38,28
5m,5/5,-1,4,LONG,колено,2R,66,0.0000,0.3508,0.1842,-0.2500,38,28
5m,5/5,-1,4,SHORT,свеча,магнит,51,-0.1253,0.5376,0.0483,-0.3732,30,21
5m,5/5,-1,4,SHORT,свеча,3R,90,-0.0667,0.3587,0.1765,-0.3846,51,39
5m,5/5,-1,4,SHORT,свеча,2R,90,-0.2000,0.2812,0.0588,-0.5385,51,39
5m,5/5,-1,4,SHORT,колено,3R,89,0.3933,0.4063,0.2000,0.6410,50,39
5m,5/5,-1,4,SHORT,колено,2R,89,0.0787,0.3069,-0.0400,0.2308,50,39
5m,5/5,-1,4,SHORT,уровень,3R,88,0.4091,0.4097,0.2245,0.6410,49,39
5m,5/5,-1,4,SHORT,уровень,2R,88,0.0909,0.3094,-0.0204,0.2308,49,39
5m,5/5,-1,5,LONG,свеча,магнит,56,0.3104,0.6540,0.4436,0.0884,35,21
5m,5/5,-1,5,LONG,свеча,3R,56,0.0714,0.4777,0.1429,-0.0476,35,21
5m,5/5,-1,5,LONG,свеча,2R,56,-0.1429,0.3655,-0.0571,-0.2857,35,21
5m,5/5,-1,5,LONG,колено,магнит,39,0.1934,0.6183,0.6983,-0.7083,25,14
5m,5/5,-1,5,LONG,колено,3R,54,0.2593,0.5104,0.8182,-0.6190,33,21
5m,5/5,-1,5,LONG,колено,2R,54,0.2222,0.4050,0.5455,-0.2857,33,21
5m,5/5,-1,5,SHORT,свеча,магнит,42,0.5787,0.8518,1.1165,-0.2121,25,17
5m,5/5,-1,5,SHORT,свеча,3R,56,0.0000,0.4671,0.1429,-0.2381,35,21
5m,5/5,-1,5,SHORT,свеча,2R,56,-0.0357,0.3778,0.0286,-0.1429,35,21
5m,5/5,-1,5,SHORT,колено,магнит,24,1.0870,0.9546,1.0902,1.0805,16,8
5m,5/5,-1,5,SHORT,колено,3R,51,0.5686,0.5524,0.4118,0.8824,34,17
5m,5/5,-1,5,SHORT,колено,2R,51,0.2941,0.4202,0.2353,0.4118,34,17
5m,5/5,-1,5,SHORT,уровень,магнит,19,1.1877,1.0976,1.3888,0.6245,14,5
5m,5/5,-1,5,SHORT,уровень,3R,46,0.4783,0.5756,0.5000,0.4286,32,14
5m,5/5,-1,5,SHORT,уровень,2R,46,0.2391,0.4404,0.3125,0.0714,32,14
5m,5/5,-1,0,SHORT,свеча,магнит,322,-0.1376,0.2036,-0.0912,-0.1790,152,170
5m,5/5,-1,3,SHORT,уровень,3R,130,0.1077,0.3152,0.2381,-0.1304,84,46
5m,5/5,-1,3,SHORT,уровень,2R,130,0.1077,0.2549,0.2500,-0.1522,84,46
5m,5/5,-1,0,SHORT,колено,магнит,233,0.0579,0.2455,0.4068,-0.2596,111,122
5m,5/5,-1,0,SHORT,уровень,магнит,51,0.5724,0.6092,0.9666,0.0092,30,21
5m,5/5,1,0,LONG,колено,магнит,264,-0.0181,0.2344,-0.2334,0.2248,140,124
5m,5/5,1,3,LONG,свеча,магнит,158,-0.0035,0.3373,0.0075,-0.0177,89,69
5m,5/5,1,3,LONG,уровень,магнит,44,-0.1812,0.6392,-0.1317,-0.2406,24,20
5m,5/5,1,3,LONG,уровень,3R,98,-0.1837,0.3274,-0.1837,-0.1837,49,49
5m,5/5,1,3,LONG,уровень,2R,100,-0.1300,0.2736,-0.0400,-0.2200,50,50
5m,5/5,1,3,SHORT,свеча,магнит,162,0.4017,0.3727,0.6847,0.0968,84,78
5m,5/5,1,3,SHORT,колено,магнит,120,0.4676,0.3759,1.1196,-0.2531,63,57
5m,5/5,1,5,SHORT,колено,магнит,52,0.3259,0.5955,1.0279,-1.0000,34,18
5m,5/5,1,0,LONG,уровень,магнит,56,-0.4117,0.3889,-0.8799,0.3686,35,21
5m,5/5,1,0,LONG,уровень,3R,120,-0.1000,0.3062,-0.7391,0.2973,46,74
5m,5/5,1,0,LONG,уровень,2R,120,-0.1750,0.2456,-0.6739,0.1351,46,74
5m,5/5,1,1,LONG,уровень,магнит,105,-0.1836,0.3433,-0.0651,-0.4665,74,31
5m,5/5,1,1,LONG,уровень,3R,178,0.0787,0.2669,-0.0112,0.1685,89,89
5m,5/5,1,1,LONG,уровень,2R,180,-0.0167,0.2105,-0.0562,0.0220,89,91
5m,5/5,1,2,SHORT,колено,магнит,202,-0.0289,0.2901,0.1574,-0.1642,85,117
5m,5/5,-1,1,SHORT,уровень,магнит,108,0.0857,0.3662,0.4485,-0.2772,54,54
5m,5/5,1,0,SHORT,уровень,магнит,97,0.0647,0.3803,0.4154,-0.4569,58,39
5m,5/5,1,1,SHORT,уровень,магнит,70,0.4257,0.4923,0.6773,0.1092,39,31
5m,5/5,1,4,SHORT,колено,магнит,69,-0.1195,0.4503,0.6333,-0.7707,32,37
5m,5/5,1,4,SHORT,колено,3R,78,-0.1282,0.3764,0.4054,-0.6098,37,41
5m,5/5,1,4,SHORT,колено,2R,78,-0.0385,0.3191,0.1351,-0.1951,37,41
5m,5/5,-1,2,SHORT,уровень,магнит,154,-0.0414,0.2998,0.4351,-0.5305,78,76
5m,5/5,-1,3,SHORT,уровень,магнит,67,-0.1466,0.4310,-0.1224,-0.1716,34,33
5m,5/5,-1,4,SHORT,колено,магнит,31,0.4646,0.7842,0.6727,0.2119,17,14
5m,5/5,-1,4,SHORT,уровень,магнит,30,0.5134,0.8045,0.7773,0.2119,16,14
5m,5/5,-1,3,LONG,уровень,магнит,1,-1.0000,0.0000,-1.0000,0.0000,1,0
5m,5/5,-1,3,LONG,уровень,3R,3,0.3333,2.6667,-1.0000,1.0000,1,2
5m,5/5,-1,3,LONG,уровень,2R,3,1.0000,2.0000,-1.0000,2.0000,1,2
5m,5/5,1,3,SHORT,уровень,магнит,12,1.6796,1.3897,1.9232,-1.0000,11,1
5m,5/5,1,3,SHORT,уровень,3R,17,0.8824,0.9983,1.0000,-1.0000,16,1
5m,5/5,1,3,SHORT,уровень,2R,17,1.1176,0.6835,1.0625,2.0000,16,1
5m,5/5,1,2,SHORT,уровень,магнит,28,1.0285,0.8430,1.6752,0.6692,10,18
5m,5/5,1,4,LONG,колено,магнит,51,-0.2442,0.5066,-0.0615,-0.3944,23,28
5m,5/5,1,4,LONG,уровень,магнит,38,0.0143,0.6611,0.2698,-0.1925,17,21
5m,5/5,-1,2,LONG,уровень,магнит,12,-0.6623,0.6753,-0.4935,-1.0000,8,4
5m,5/5,-1,2,LONG,уровень,3R,16,0.0000,0.8944,-0.5000,0.5000,8,8
5m,5/5,-1,2,LONG,уровень,2R,16,0.3125,0.7685,-0.6250,1.2500,8,8
5m,5/5,1,4,SHORT,уровень,магнит,5,-0.1996,1.6008,0.0005,-1.0000,4,1
5m,5/5,1,4,SHORT,уровень,3R,6,0.3333,1.6865,-0.2000,3.0000,5,1
5m,5/5,1,4,SHORT,уровень,2R,6,1.0000,1.2649,0.8000,2.0000,5,1
5m,5/5,1,5,SHORT,уровень,магнит,1,-1.0000,0.0000,-1.0000,0.0000,1,0
5m,5/5,1,5,SHORT,уровень,3R,1,-1.0000,0.0000,-1.0000,0.0000,1,0
5m,5/5,1,5,SHORT,уровень,2R,1,-1.0000,0.0000,-1.0000,0.0000,1,0
5m,2/2,-1,1,LONG,свеча,3R,533,-0.1520,0.1418,-0.2809,-0.0226,267,266
5m,2/2,-1,1,LONG,свеча,2R,533,-0.1107,0.1188,-0.2022,-0.0188,267,266
5m,2/2,-1,1,LONG,колено,3R,500,-0.0720,0.1512,-0.2610,0.1155,249,251
5m,2/2,-1,1,LONG,колено,2R,502,-0.1275,0.1217,-0.2560,0.0000,250,252
5m,2/2,-1,1,SHORT,свеча,3R,533,0.0882,0.1544,0.1835,-0.0075,267,266
5m,2/2,-1,1,SHORT,свеча,2R,533,0.0750,0.1247,0.1685,-0.0188,267,266
5m,2/2,-1,1,SHORT,колено,3R,486,0.1770,0.1655,0.3920,-0.0508,250,236
5m,2/2,-1,1,SHORT,колено,2R,493,0.1866,0.1323,0.3228,0.0418,254,239
5m,2/2,1,0,LONG,свеча,3R,380,0.0211,0.1792,-0.0056,0.0443,177,203
5m,2/2,1,0,LONG,свеча,2R,381,-0.0472,0.1433,-0.0847,-0.0147,177,204
5m,2/2,1,0,LONG,колено,3R,368,0.0652,0.1846,-0.0233,0.1429,172,196
5m,2/2,1,0,LONG,колено,2R,369,-0.0407,0.1459,-0.0983,0.0102,173,196
5m,2/2,1,0,SHORT,свеча,3R,381,0.1549,0.1860,0.1525,0.1569,177,204
5m,2/2,1,0,SHORT,свеча,2R,381,0.0787,0.1477,0.0508,0.1029,177,204
5m,2/2,1,0,SHORT,колено,3R,329,0.1185,0.1983,0.0909,0.1429,154,175
5m,2/2,1,0,SHORT,колено,2R,329,0.0122,0.1566,-0.0455,0.0629,154,175
5m,2/2,1,0,SHORT,свеча,магнит,311,0.1638,0.2348,0.2003,0.1320,145,166
5m,2/2,1,1,LONG,свеча,3R,509,-0.2063,0.1416,-0.3962,0.0000,265,244
5m,2/2,1,1,LONG,свеча,2R,509,-0.1218,0.1211,-0.2642,0.0328,265,244
5m,2/2,1,1,LONG,колено,3R,465,-0.2774,0.1429,-0.2636,-0.2920,239,226
5m,2/2,1,1,LONG,колено,2R,466,-0.3369,0.1155,-0.3250,-0.3496,240,226
5m,2/2,1,1,LONG,уровень,3R,197,-0.4315,0.1995,-0.4222,-0.4393,90,107
5m,2/2,1,1,LONG,уровень,2R,197,-0.3604,0.1755,-0.4333,-0.2991,90,107
5m,2/2,1,1,SHORT,свеча,магнит,423,0.3062,0.2109,0.5618,0.0344,218,205
5m,2/2,1,1,SHORT,свеча,3R,509,0.2181,0.1633,0.4340,-0.0164,265,244
5m,2/2,1,1,SHORT,свеча,2R,509,0.1552,0.1295,0.3019,-0.0041,265,244
5m,2/2,1,1,SHORT,колено,магнит,308,0.3699,0.2416,0.7411,0.0036,153,155
5m,2/2,1,1,SHORT,колено,3R,495,0.2768,0.1678,0.5938,-0.0628,256,239
5m,2/2,1,1,SHORT,колено,2R,495,0.2061,0.1324,0.3945,0.0042,256,239
5m,2/2,1,3,LONG,свеча,3R,196,-0.3469,0.2117,-0.4105,-0.2871,95,101
5m,2/2,1,3,LONG,свеча,2R,196,-0.1735,0.1920,-0.4316,0.0693,95,101
5m,2/2,1,3,SHORT,свеча,3R,196,0.2041,0.2628,0.6000,-0.1683,95,101
5m,2/2,1,3,SHORT,свеча,2R,196,0.2092,0.2108,0.5474,-0.1089,95,101
5m,2/2,1,3,SHORT,колено,3R,189,0.1429,0.2636,0.3913,-0.0928,92,97
5m,2/2,1,3,SHORT,колено,2R,189,0.1746,0.2136,0.5000,-0.1340,92,97
5m,2/2,-1,2,LONG,свеча,3R,343,-0.1837,0.1743,-0.2727,-0.0621,198,145
5m,2/2,-1,2,LONG,свеча,2R,343,-0.0904,0.1491,-0.1667,0.0138,198,145
5m,2/2,-1,2,LONG,колено,3R,298,-0.0201,0.1996,-0.2360,0.3000,178,120
5m,2/2,-1,2,LONG,колено,2R,298,-0.0537,0.1618,-0.2079,0.1750,178,120
5m,2/2,-1,2,SHORT,свеча,3R,343,-0.0437,0.1845,0.0505,-0.1724,198,145
5m,2/2,-1,2,SHORT,свеча,2R,343,-0.0204,0.1521,0.0606,-0.1310,198,145
5m,2/2,-1,2,SHORT,колено,3R,338,0.1006,0.1946,0.3469,-0.2394,196,142
5m,2/2,-1,2,SHORT,колено,2R,339,0.0619,0.1561,0.2335,-0.1761,197,142
5m,2/2,-1,2,SHORT,уровень,3R,268,0.0299,0.2141,0.2727,-0.2982,154,114
5m,2/2,-1,2,SHORT,уровень,2R,269,0.0706,0.1756,0.2387,-0.1579,155,114
5m,2/2,1,2,LONG,свеча,3R,302,-0.1788,0.1863,-0.4795,0.1026,146,156
5m,2/2,1,2,LONG,свеча,2R,302,-0.1258,0.1571,-0.2397,-0.0192,146,156
5m,2/2,1,2,LONG,колено,3R,289,-0.0588,0.2000,-0.3913,0.2450,138,151
5m,2/2,1,2,LONG,колено,2R,289,-0.0450,0.1647,-0.2609,0.1523,138,151
5m,2/2,1,2,LONG,уровень,3R,233,-0.0215,0.2258,-0.2621,0.1692,103,130
5m,2/2,1,2,LONG,уровень,2R,233,0.0043,0.1859,-0.0971,0.0846,103,130
5m,2/2,1,2,SHORT,свеча,3R,302,-0.0728,0.1946,0.2055,-0.3333,146,156
5m,2/2,1,2,SHORT,свеча,2R,302,-0.1358,0.1566,0.1096,-0.3654,146,156
5m,2/2,1,2,SHORT,колено,3R,259,-0.0425,0.2125,0.2913,-0.3636,127,132
5m,2/2,1,2,SHORT,колено,2R,259,-0.0386,0.1743,0.2283,-0.2955,127,132
5m,2/2,1,3,LONG,колено,3R,181,-0.1160,0.2474,-0.2093,-0.0316,86,95
5m,2/2,1,3,LONG,колено,2R,183,-0.1148,0.2028,-0.3023,0.0515,86,97
5m,2/2,1,3,LONG,уровень,3R,157,-0.0573,0.2718,-0.1282,0.0127,78,79
5m,2/2,1,3,LONG,уровень,2R,159,-0.0755,0.2204,-0.2308,0.0741,78,81
5m,2/2,1,3,SHORT,свеча,магнит,180,0.2877,0.3242,0.7450,-0.1695,90,90
5m,2/2,1,3,SHORT,колено,магнит,138,0.0916,0.3213,0.3587,-0.1834,70,68
5m,2/2,1,0,LONG,уровень,3R,129,0.2093,0.3247,-0.4098,0.7647,61,68
5m,2/2,1,0,LONG,уровень,2R,129,0.1860,0.2593,-0.2131,0.5441,61,68
5m,2/2,1,0,SHORT,колено,магнит,239,-0.0077,0.2625,0.0182,-0.0297,110,129
5m,2/2,1,1,LONG,колено,магнит,260,-0.2395,0.2082,-0.2242,-0.2601,149,111
5m,2/2,-1,2,LONG,свеча,магнит,318,-0.1116,0.2260,-0.1839,-0.0124,184,134
5m,2/2,-1,2,LONG,колено,магнит,246,0.0064,0.2444,-0.2245,0.3612,149,97
5m,2/2,-1,4,LONG,свеча,магнит,127,0.2291,0.3903,0.2527,0.1718,90,37
5m,2/2,-1,4,LONG,свеча,3R,132,0.0606,0.3085,0.0213,0.1579,94,38
5m,2/2,-1,4,LONG,свеча,2R,132,-0.0909,0.2409,-0.1702,0.1053,94,38
5m,2/2,-1,4,LONG,колено,3R,104,0.2692,0.3669,0.0000,0.8750,72,32
5m,2/2,-1,4,LONG,колено,2R,104,0.1538,0.2876,-0.0417,0.5938,72,32
5m,2/2,-1,4,SHORT,свеча,3R,132,0.1515,0.3165,0.3191,-0.2632,94,38
5m,2/2,-1,4,SHORT,свеча,2R,132,0.1364,0.2543,0.2766,-0.2105,94,38
5m,2/2,-1,4,SHORT,колено,3R,130,0.3846,0.3351,0.6522,-0.2632,92,38
5m,2/2,-1,4,SHORT,колено,2R,130,0.2000,0.2588,0.4348,-0.3684,92,38
5m,2/2,-1,4,SHORT,уровень,3R,124,0.4194,0.3451,0.7011,-0.2432,87,37
5m,2/2,-1,4,SHORT,уровень,2R,124,0.2339,0.2662,0.4828,-0.3514,87,37
5m,2/2,-1,4,LONG,колено,магнит,88,0.2230,0.4361,-0.0143,0.7888,62,26
5m,2/2,-1,0,LONG,свеча,магнит,318,0.1880,0.2470,0.2707,0.0955,168,150
5m,2/2,-1,0,LONG,свеча,3R,386,0.0259,0.1780,0.0485,0.0000,206,180
5m,2/2,-1,0,LONG,свеча,2R,386,0.0803,0.1468,0.0922,0.0667,206,180
5m,2/2,-1,0,LONG,колено,магнит,249,-0.0003,0.2589,0.0874,-0.0831,121,128
5m,2/2,-1,0,LONG,колено,3R,326,-0.0061,0.1918,-0.0353,0.0256,170,156
5m,2/2,-1,0,LONG,колено,2R,326,-0.0429,0.1551,-0.1000,0.0192,170,156
5m,2/2,-1,0,SHORT,свеча,3R,386,-0.0363,0.1744,0.0097,-0.0889,206,180
5m,2/2,-1,0,SHORT,свеча,2R,386,-0.0674,0.1415,0.0049,-0.1500,206,180
5m,2/2,-1,0,SHORT,колено,3R,374,-0.0802,0.1743,-0.0909,-0.0682,198,176
5m,2/2,-1,0,SHORT,колено,2R,375,-0.0880,0.1427,-0.0955,-0.0795,199,176
5m,2/2,-1,0,SHORT,уровень,3R,144,-0.1667,0.2717,-0.0933,-0.2464,75,69
5m,2/2,-1,0,SHORT,уровень,2R,145,-0.1517,0.2252,-0.0921,-0.2174,76,69
5m,2/2,-1,1,LONG,свеча,магнит,450,-0.1671,0.1666,-0.3131,-0.0104,233,217
5m,2/2,-1,1,LONG,колено,магнит,337,-0.1866,0.1895,-0.3094,-0.0571,173,164
5m,2/2,-1,1,SHORT,уровень,3R,224,0.1607,0.2431,0.4309,-0.1683,123,101
5m,2/2,-1,1,SHORT,уровень,2R,225,0.1067,0.1934,0.2823,-0.1089,124,101
5m,2/2,1,0,LONG,свеча,магнит,290,-0.0166,0.2248,0.0895,-0.1226,145,145
5m,2/2,1,0,LONG,колено,магнит,232,0.0286,0.2523,0.0818,-0.0285,120,112
5m,2/2,1,0,SHORT,уровень,3R,134,0.0448,0.3047,0.0968,0.0000,62,72
5m,2/2,1,0,SHORT,уровень,2R,134,-0.0149,0.2443,0.0161,-0.0417,62,72
5m,2/2,1,1,LONG,свеча,магнит,411,-0.1466,0.1827,-0.3398,0.0674,216,195
5m,2/2,1,2,LONG,свеча,магнит,204,-0.2767,0.2326,-0.4948,-0.0408,106,98
5m,2/2,1,2,LONG,колено,магнит,158,-0.0760,0.2998,-0.3101,0.1898,84,74
5m,2/2,1,0,LONG,уровень,магнит,61,0.3207,0.5650,-0.0956,0.8114,33,28
5m,2/2,-1,3,LONG,свеча,магнит,161,-0.3397,0.2621,-0.4540,-0.1752,95,66
5m,2/2,-1,3,LONG,свеча,3R,187,-0.3797,0.2123,-0.4615,-0.2771,104,83
5m,2/2,-1,3,LONG,свеча,2R,187,-0.2781,0.1881,-0.3654,-0.1687,104,83
5m,2/2,-1,3,LONG,колено,3R,183,-0.1475,0.2428,-0.4455,0.2195,101,82
5m,2/2,-1,3,LONG,колено,2R,183,-0.2295,0.1943,-0.3762,-0.0488,101,82
5m,2/2,-1,3,SHORT,свеча,магнит,134,0.0341,0.3681,0.1058,-0.0445,70,64
5m,2/2,-1,3,SHORT,свеча,3R,187,-0.0374,0.2508,0.0000,-0.0843,104,83
5m,2/2,-1,3,SHORT,свеча,2R,187,0.1390,0.2135,0.1538,0.1205,104,83
5m,2/2,-1,3,SHORT,колено,магнит,103,0.1672,0.4422,0.6095,-0.4028,58,45
5m,2/2,-1,3,SHORT,колено,3R,171,0.1228,0.2757,0.3333,-0.1467,96,75
5m,2/2,-1,3,SHORT,колено,2R,171,0.1228,0.2227,0.3438,-0.1600,96,75
5m,2/2,1,3,LONG,свеча,магнит,140,-0.4565,0.2497,-0.4328,-0.4809,71,69
5m,2/2,1,3,LONG,колено,магнит,84,-0.0605,0.3983,0.2500,-0.3049,37,47
5m,2/2,-1,1,SHORT,свеча,магнит,386,0.1468,0.2133,0.3712,-0.0535,182,204
5m,2/2,-1,3,LONG,колено,магнит,125,0.0300,0.3389,-0.3152,0.5839,77,48
5m,2/2,-1,3,SHORT,уровень,3R,150,0.0933,0.2921,0.3012,-0.1642,83,67
5m,2/2,-1,3,SHORT,уровень,2R,150,0.1000,0.2369,0.3012,-0.1493,83,67
5m,2/2,-1,4,SHORT,колено,магнит,57,0.5947,0.5616,0.8225,-0.1047,43,14
5m,2/2,1,3,LONG,уровень,магнит,60,0.1590,0.5046,0.6518,-0.2721,28,32
5m,2/2,1,4,LONG,свеча,магнит,48,0.0642,0.5817,0.2660,-0.0799,20,28
5m,2/2,1,4,LONG,свеча,3R,92,0.2174,0.3859,0.0323,0.3115,31,61
5m,2/2,1,4,LONG,свеча,2R,92,0.0435,0.2996,-0.1290,0.1311,31,61
5m,2/2,1,4,LONG,колено,магнит,38,0.0074,0.6540,0.2205,-0.1475,16,22
5m,2/2,1,4,LONG,колено,3R,91,0.0549,0.3716,-0.3333,0.2459,30,61
5m,2/2,1,4,LONG,колено,2R,91,-0.0769,0.2919,-0.2000,-0.0164,30,61
5m,2/2,1,4,LONG,уровень,магнит,33,0.1601,0.7398,0.3949,-0.0129,14,19
5m,2/2,1,4,LONG,уровень,3R,86,0.1163,0.3892,-0.2857,0.3103,28,58
5m,2/2,1,4,LONG,уровень,2R,86,-0.0581,0.3020,-0.2500,0.0345,28,58
5m,2/2,1,4,SHORT,свеча,магнит,87,0.2686,0.4351,0.4261,0.2015,26,61
5m,2/2,1,4,SHORT,свеча,3R,92,0.1304,0.3776,0.1613,0.1148,31,61
5m,2/2,1,4,SHORT,свеча,2R,92,0.1087,0.3036,0.4516,-0.0656,31,61
5m,2/2,1,4,SHORT,колено,3R,82,0.0244,0.3880,0.2000,-0.0769,30,52
5m,2/2,1,4,SHORT,колено,2R,82,0.1707,0.3252,0.3000,0.0962,30,52
5m,2/2,-1,2,LONG,уровень,магнит,17,0.1573,1.0644,-1.0000,1.1861,8,9
5m,2/2,-1,2,LONG,уровень,3R,23,0.3913,0.8123,-0.6000,1.1538,10,13
5m,2/2,-1,2,LONG,уровень,2R,23,0.0435,0.6093,-0.7000,0.6154,10,13
5m,2/2,-1,2,SHORT,свеча,магнит,229,-0.0606,0.2604,0.0937,-0.2670,131,98
5m,2/2,-1,2,SHORT,колено,магнит,186,0.1479,0.2904,0.3411,-0.1445,112,74
5m,2/2,-1,0,SHORT,свеча,магнит,293,-0.2180,0.2076,-0.1984,-0.2405,156,137
5m,2/2,1,1,LONG,уровень,магнит,97,-0.3883,0.3204,-0.3039,-0.5193,59,38
5m,2/2,1,2,SHORT,свеча,магнит,280,-0.1826,0.2145,0.0191,-0.3600,131,149
5m,2/2,-1,2,SHORT,уровень,магнит,135,-0.0032,0.3163,0.0818,-0.1308,81,54
5m,2/2,-1,1,SHORT,колено,магнит,250,0.1137,0.2423,0.4072,-0.1404,116,134
5m,2/2,-1,1,SHORT,уровень,магнит,110,-0.0086,0.3522,0.2965,-0.2924,53,57
5m,2/2,1,2,LONG,уровень,магнит,111,0.0006,0.3742,-0.0329,0.0291,51,60
5m,2/2,1,2,SHORT,колено,магнит,205,-0.1547,0.2570,0.2020,-0.4178,87,118
5m,2/2,1,5,LONG,свеча,магнит,38,-0.7734,0.3162,-1.0000,-0.6556,13,25
5m,2/2,1,5,LONG,свеча,3R,57,-0.5789,0.3281,-0.7778,-0.4872,18,39
5m,2/2,1,5,LONG,свеча,2R,57,-0.1053,0.3668,-0.6667,0.1538,18,39
5m,2/2,1,5,LONG,колено,магнит,19,-0.7524,0.4952,-1.0000,-0.6080,7,12
5m,2/2,1,5,LONG,колено,3R,46,-0.3913,0.4284,-1.0000,-0.0667,16,30
5m,2/2,1,5,LONG,колено,2R,47,-0.0426,0.4124,-0.8125,0.3548,16,31
5m,2/2,1,5,SHORT,свеча,магнит,55,0.0405,0.5131,0.2001,-0.0371,18,37
5m,2/2,1,5,SHORT,свеча,3R,57,0.0526,0.4708,0.1111,0.0256,18,39
5m,2/2,1,5,SHORT,свеча,2R,57,0.0526,0.3826,0.3333,-0.0769,18,39
5m,2/2,1,5,SHORT,колено,магнит,41,0.6008,0.6702,1.1060,0.3094,15,26
5m,2/2,1,5,SHORT,колено,3R,52,0.2308,0.5170,0.7778,-0.0588,18,34
5m,2/2,1,5,SHORT,колено,2R,52,0.0962,0.4046,0.5000,-0.1176,18,34
5m,2/2,1,1,SHORT,уровень,магнит,50,0.2019,0.5963,1.0425,-0.7848,27,23
5m,2/2,1,1,SHORT,уровень,3R,96,0.3750,0.3898,0.8182,-0.2195,55,41
5m,2/2,1,1,SHORT,уровень,2R,96,0.2812,0.3045,0.5273,-0.0488,55,41
5m,2/2,-1,5,LONG,свеча,магнит,67,0.0689,0.5242,0.3090,-0.2458,38,29
5m,2/2,-1,5,LONG,свеча,3R,70,-0.0857,0.4044,0.1000,-0.3333,40,30
5m,2/2,-1,5,LONG,свеча,2R,70,-0.1429,0.3263,0.0500,-0.4000,40,30
5m,2/2,-1,5,LONG,колено,магнит,46,0.1855,0.6040,0.2370,0.1124,27,19
5m,2/2,-1,5,LONG,колено,3R,68,0.0000,0.4232,-0.0769,0.1034,39,29
5m,2/2,-1,5,LONG,колено,2R,68,0.1029,0.3534,0.2308,-0.0690,39,29
5m,2/2,-1,5,SHORT,свеча,3R,70,0.0857,0.4283,-0.3000,0.6000,40,30
5m,2/2,-1,5,SHORT,свеча,2R,70,-0.0143,0.3393,-0.3250,0.4000,40,30
5m,2/2,-1,5,SHORT,колено,3R,65,0.2308,0.4615,0.3714,0.0667,35,30
5m,2/2,-1,5,SHORT,колено,2R,66,0.0909,0.3580,0.0833,0.1000,36,30
5m,2/2,-1,5,SHORT,уровень,3R,60,0.2667,0.4845,0.3750,0.1429,32,28
5m,2/2,-1,5,SHORT,уровень,2R,61,0.1311,0.3754,0.0909,0.1786,33,28
5m,2/2,-1,0,LONG,уровень,магнит,73,0.1290,0.5027,0.0883,0.1687,36,37
5m,2/2,-1,0,LONG,уровень,3R,129,-0.0078,0.3054,-0.0685,0.0714,73,56
5m,2/2,-1,0,LONG,уровень,2R,129,-0.0465,0.2469,-0.1370,0.0714,73,56
5m,2/2,-1,1,LONG,уровень,магнит,62,-0.3803,0.4289,-0.1059,-0.6063,28,34
5m,2/2,-1,1,LONG,уровень,3R,94,-0.1915,0.3331,-0.1628,-0.2157,43,51
5m,2/2,-1,1,LONG,уровень,2R,95,-0.2105,0.2725,-0.1628,-0.2500,43,52
5m,2/2,1,5,LONG,уровень,3R,36,-0.4444,0.4676,-1.0000,-0.2000,11,25
5m,2/2,1,5,LONG,уровень,2R,37,0.0541,0.4774,-0.7273,0.3846,11,26
5m,2/2,1,0,SHORT,уровень,магнит,81,-0.1707,0.4122,0.0441,-0.3605,38,43
5m,2/2,-1,0,SHORT,колено,магнит,221,0.0170,0.2585,0.1625,-0.1353,113,108
5m,2/2,-1,0,SHORT,уровень,магнит,67,-0.2234,0.4103,-0.0800,-0.3264,28,39
5m,2/2,-1,3,SHORT,уровень,магнит,83,0.1502,0.5096,0.5732,-0.3756,46,37
5m,2/2,-1,5,SHORT,свеча,магнит,45,0.3277,0.5971,-0.3519,1.3472,27,18
5m,2/2,-1,5,SHORT,колено,магнит,28,0.7521,0.8601,1.1331,0.3125,15,13
5m,2/2,-1,5,SHORT,уровень,магнит,23,0.9527,0.9775,1.3207,0.5512,12,11
5m,2/2,1,4,SHORT,колено,магнит,67,0.0598,0.4767,0.1986,-0.0036,21,46
5m,2/2,-1,4,SHORT,свеча,магнит,81,0.4703,0.4871,0.5208,0.3163,61,20
5m,2/2,-1,4,SHORT,уровень,магнит,52,0.6637,0.5935,0.8969,-0.0359,39,13
5m,2/2,1,2,SHORT,уровень,магнит,20,0.2709,0.8933,1.4559,-0.3673,7,13
5m,2/2,1,2,SHORT,уровень,3R,25,0.1200,0.7332,0.6667,-0.3846,12,13
5m,2/2,1,2,SHORT,уровень,2R,25,-0.0400,0.5713,0.2500,-0.3077,12,13
5m,2/2,1,3,SHORT,уровень,магнит,2,1.3174,4.6348,3.6348,-1.0000,1,1
5m,2/2,1,3,SHORT,уровень,3R,7,0.7143,1.6162,3.0000,-1.0000,3,4
