слой,время вершины,цена вершины,время колена-низа,цена колена-низа,время настоящего дна,цена настоящего дна,глубина пунктов,глубина в импульсах,баров раньше,баров без колена,кто помешал,размах помехи в медианах
2/2,2025-02-04 15:00,2845.470,2025-02-05 01:00,2839.740,2025-02-04 16:00,2832.700,7.040,0.184,8,9,другая слева,3.35
2/2,2025-02-10 01:00,2876.740,2025-02-10 14:00,2896.385,2025-02-10 03:00,2871.235,25.150,1.079,11,13,свеча вершины,2.80
2/2,2025-02-26 16:00,2916.835,2025-02-26 20:00,2912.100,2025-02-26 17:00,2910.420,1.680,0.065,3,4,другая слева,4.18
2/2,2025-03-17 14:00,3000.550,2025-03-18 01:00,2999.460,2025-03-17 15:00,2992.965,6.495,0.416,9,10,другая слева,1.41
2/2,2025-03-31 15:00,3127.300,2025-03-31 23:00,3120.125,2025-03-31 16:00,3111.710,8.415,0.305,6,7,другая слева,3.36
2/2,2025-04-09 19:00,3099.770,2025-04-10 01:00,3078.550,2025-04-09 22:00,3071.505,7.045,0.111,3,5,свеча вершины,9.41
2/2,2025-04-14 17:00,3216.485,2025-04-15 01:00,3210.065,2025-04-14 18:00,3201.380,8.685,0.380,6,7,другая слева,2.81
2/2,2025-05-09 07:00,3332.350,2025-05-09 14:00,3320.395,2025-05-09 08:00,3320.205,0.190,0.003,6,7,другая слева,3.07
2/2,2025-06-04 14:00,3384.760,2025-06-04 20:00,3370.675,2025-06-04 15:00,3369.790,0.885,0.022,5,6,другая слева,3.17
2/2,2025-07-16 15:00,3377.655,2025-07-16 19:00,3346.070,2025-07-16 16:00,3339.090,6.980,0.120,3,4,другая слева,6.09
2/2,2025-07-29 15:00,3334.270,2025-07-29 19:00,3322.670,2025-07-29 16:00,3319.090,3.580,0.161,3,4,другая слева,4.70
2/2,2025-09-15 16:00,3685.695,2025-09-15 23:00,3676.165,2025-09-15 18:00,3675.965,0.200,0.004,4,6,свеча вершины,2.90
2/2,2025-10-23 06:00,4137.745,2025-10-23 12:00,4100.140,2025-10-23 07:00,4092.060,8.080,0.112,5,6,другая слева,7.03
2/2,2025-11-07 16:00,4027.595,2025-11-07 20:00,3994.640,2025-11-07 17:00,3992.370,2.270,0.052,3,4,другая слева,4.05
2/2,2025-11-12 09:00,4133.855,2025-11-12 13:00,4122.740,2025-11-12 10:00,4117.945,4.795,0.137,3,4,другая слева,5.48
2/2,2026-01-12 00:00,4601.695,2026-01-12 12:00,4578.485,2026-01-12 02:00,4561.935,16.550,0.138,10,12,свеча вершины,17.26
2/2,2026-01-28 23:00,5602.225,2026-01-29 11:00,5470.900,2026-01-29 01:00,5444.925,25.975,0.071,10,12,свеча вершины,44.96
2/2,2026-02-10 23:00,5054.855,2026-02-11 05:00,5043.800,2026-02-11 00:00,5028.390,15.410,0.276,5,6,другая слева,3.30
2/2,2026-05-20 15:00,4553.045,2026-05-20 23:00,4534.740,2026-05-20 16:00,4524.115,10.625,0.107,6,7,другая слева,18.57
2/2,2026-05-29 01:00,4520.815,2026-05-29 08:00,4509.955,2026-05-29 03:00,4494.935,15.020,0.472,5,7,свеча вершины,7.52
2/2,2026-06-11 01:00,4118.395,2026-06-11 14:00,4052.975,2026-06-11 02:00,4052.295,0.680,0.007,12,13,другая слева,11.15
