тф,счёт,точка,сторона,контекст5/5,сделок,сыройR,надбавка,шум2s,база,половина1,половина2,вердикт
5m,вниз,0,LONG,согласен,36,-0.4759,-0.3921,0.5033,-0.0838,-0.0040,-0.7759,нейтрально
5m,вверх,0,LONG,согласен,16,-0.1531,-0.0693,0.9122,-0.0838,-0.0500,-0.1438,мало данных
5m,вверх,4,SHORT,согласен,1,-1.0000,-1.1026,0.0000,0.1026,-1.2853,0.0000,мало данных
5m,вверх,4,LONG,против/нет,1,-1.0000,-0.9162,0.0000,-0.0838,-0.8271,0.0000,мало данных
5m,вниз,3,SHORT,согласен,12,-0.2791,-0.3817,0.9732,0.1026,-0.0494,-0.9357,мало данных
5m,вверх,4,LONG,согласен,4,0.1632,0.2470,2.3264,-0.0838,0.3361,0.0000,мало данных
5m,вверх,3,LONG,согласен,14,0.9078,0.9916,1.2236,-0.0838,1.1969,0.4489,мало данных
5m,вверх,1,LONG,согласен,39,-0.3190,-0.2352,0.5207,-0.0838,-0.4227,0.0460,нейтрально
5m,вниз,4,SHORT,согласен,8,-0.4708,-0.5734,1.0585,0.1026,-0.4385,-0.9357,мало данных
5m,вниз,1,LONG,согласен,25,0.3801,0.4639,0.9081,-0.0838,-0.8271,0.7834,мало данных
5m,вверх,5,LONG,против/нет,1,-1.0000,-0.9162,0.0000,-0.0838,-0.8271,0.0000,мало данных
5m,вниз,0,SHORT,против/нет,66,0.1041,0.0015,0.5830,0.1026,-0.6721,0.5083,нейтрально
5m,вверх,2,LONG,согласен,7,1.1221,1.2059,2.0011,-0.0838,1.5993,0.9678,мало данных
5m,вниз,2,SHORT,против/нет,14,1.1782,1.0755,1.9735,0.1026,-1.2853,1.6055,мало данных
5m,вверх,2,LONG,против/нет,7,0.2361,0.3199,1.5963,-0.0838,1.3361,-1.0326,мало данных
5m,вниз,5,SHORT,против/нет,2,-1.0000,-1.1026,0.0000,0.1026,0.0000,-0.9357,мало данных
5m,вверх,5,LONG,согласен,2,-1.0000,-0.9162,0.0000,-0.0838,0.0000,-1.0326,мало данных
5m,вниз,5,SHORT,согласен,4,0.1433,0.0407,2.2866,0.1026,0.0000,0.2076,мало данных
